gbifID	scientificName	decimalLatitude	decimalLongitude	day	month	year	countryCode	stateProvince	DataSetID/Name	Elevation	kingdom	phylum	class	order	family
3962335507	Leptodactylus labrosus	-2.21525	-79.86351	25	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Leptodactylidae
3962335506	Leptodactylus labrosus	-2.21121	-79.84916	26	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Leptodactylidae
3962335504	Leptodactylus labrosus	-2.21071	-79.84929	26	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Leptodactylidae
3962335501	Rana catesbeiana	-2.22953	-79.8676	24	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Ranidae
3962335453	Trachycephalus jordani	-2.21593	-79.86313	25	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Hylidae
3962335451	Rhinella horribilis	-2.22406	-79.87377	24	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Bufonidae
3962335450	Rhinella horribilis	-2.1098	-79.91704	9	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Bufonidae
3962335447	Rhinella horribilis	-2.22396	-79.87363	24	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Bufonidae
3962335446	Rhinella horribilis	-2.22406	-79.87377	24	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Bufonidae
3962335444	Scinax quinquefasciatus	-2.10978	-79.91707	10	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Hylidae
3962335443	Scinax	-2.21098	-79.84908	26	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Hylidae
3962335442	Trachycephalus jordani	-2.1095	-79.92418	10	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Hylidae
3962335441	Trachycephalus jordani	-2.10976	-79.92455	10	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Hylidae
3962335439	Trachycephalus jordani	-2.21421	-79.87449	24	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Hylidae
3962335438	Trachycephalus jordani	-2.10878	-79.91593	11	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Hylidae
3962335303	Anolis fuscoauratus	-0.67674	-76.39506	19	11	1992	EC	Orellana	Bioweb	240	Animal	Chordata	Reptilia	Squamata: Sauria	Iguanidae: Dactyloinae
3962335302	Anolis fuscoauratus	-0.67674	-76.39506	19	11	1992	EC	Orellana	Bioweb	240	Animal	Chordata	Reptilia	Squamata: Sauria	Iguanidae: Dactyloinae
3962335301	Anolis fuscoauratus	-0.67674	-76.39506	19	11	1992	EC	Orellana	Bioweb	240	Animal	Chordata	Reptilia	Squamata: Sauria	Iguanidae: Dactyloinae
3962335299	Anolis trachyderma	-0.67674	-76.39506	19	11	1992	EC	Orellana	Bioweb	240	Animal	Chordata	Reptilia	Squamata: Sauria	Iguanidae: Dactyloinae
3962335298	Anolis scypheus	-0.67674	-76.39506	19	11	1992	EC	Orellana	Bioweb	240	Animal	Chordata	Reptilia	Squamata: Sauria	Iguanidae: Dactyloinae
3962335297	Anolis fuscoauratus	-0.67674	-76.39506	19	11	1992	EC	Orellana	Bioweb	240	Animal	Chordata	Reptilia	Squamata: Sauria	Iguanidae: Dactyloinae
3962335296	Anolis fuscoauratus	-0.67674	-76.39506	19	11	1992	EC	Orellana	Bioweb	240	Animal	Chordata	Reptilia	Squamata: Sauria	Iguanidae: Dactyloinae
3962334998	Gastrotheca testudinea	-2.28977	-78.21643	8	9	2007	EC	Morona Santiago	Bioweb	1671	Animal	Chordata	Amphibia	Anura	Hemiphractidae
3962334985	Hyalinobatrachium tatayoi	1.04186	-78.62404	4	10	2009	EC	Esmeraldas	Bioweb	243	Animal	Chordata	Amphibia	Anura	Centrolenidae
3962334984	Hyalinobatrachium tatayoi	1.04186	-78.62404	4	10	2009	EC	Esmeraldas	Bioweb	243	Animal	Chordata	Amphibia	Anura	Centrolenidae
3962334952	Boana boans	-3.72233	-78.75177	23	11	2003	EC	Zamora Chinchipe	Bioweb	860	Animal	Chordata	Amphibia	Anura	Hylidae
3962334547	Boana appendiculata	-0.67891	-76.39591	12	9	2002	EC	Orellana	Bioweb	250	Animal	Chordata	Amphibia	Anura	Hylidae
3962333552	Stenocercus iridescens	-2.2259	-79.86991	27	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Reptilia	Squamata: Sauria	Iguanidae: Tropidurinae
3962333551	Stenocercus iridescens	-2.19926	-79.85754	26	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Reptilia	Squamata: Sauria	Iguanidae: Tropidurinae
3962333550	Stenocercus iridescens	-2.10559	-79.90962	9	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Reptilia	Squamata: Sauria	Iguanidae: Tropidurinae
3962333549	Stenocercus iridescens	-2.10353	-79.91389	9	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Reptilia	Squamata: Sauria	Iguanidae: Tropidurinae
3962333548	Anolis sagrei	-2.21738	-79.88566	27	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Reptilia	Squamata: Sauria	Iguanidae: Dactyloinae
3962333547	Phyllodactylus reissii	-2.10498	-79.91853	10	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Reptilia	Squamata: Sauria	Phyllodactylidae
3962333546	Phyllodactylus reissii	-2.1098	-79.91704	9	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Reptilia	Squamata: Sauria	Phyllodactylidae
3962333545	Phyllodactylus reissii	-2.10984	-79.91706	9	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Reptilia	Squamata: Sauria	Phyllodactylidae
3962333541	Anolis sagrei	-2.16502	-79.89738	7	6	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Reptilia	Squamata: Sauria	Iguanidae: Dactyloinae
3962333540	Anolis sagrei	-2.16502	-79.89738	7	6	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Reptilia	Squamata: Sauria	Iguanidae: Dactyloinae
3962333533	Anolis sagrei	-2.16502	-79.89738	7	6	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Reptilia	Squamata: Sauria	Iguanidae: Dactyloinae
3962333526	Anolis sagrei	-2.07301	-79.87329	10	4	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Reptilia	Squamata: Sauria	Iguanidae: Dactyloinae
3962333524	Anolis sagrei	-2.16369	-79.9009	7	6	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Reptilia	Squamata: Sauria	Iguanidae: Dactyloinae
3962333523	Anolis sagrei	-2.1655	-79.89836	7	6	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Reptilia	Squamata: Sauria	Iguanidae: Dactyloinae
3962333517	Amphisbaena varia	-0.32128	-78.95173	5	6	2022	EC	Pichincha	Bioweb	No Info	Animal	Chordata	Reptilia	Squamata: Amphisbaenia	Amphisbaenidae
3962333430	Leptodactylus	0.02982	-75.97449	7	5	2004	EC	Sucumbíos	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Leptodactylidae
3962333402	Rana	1.04273	-78.62449	1	7	1994	EC	Esmeraldas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Ranidae
